session_id,image_hash,texture,lighting,upload_hour,tap_count,score_drift,final_score,behavior_outcome,label
a7657f88,c3b83c46c3b13cce,478.187824249253,0.21583777034983914,3,4,99.15,99.15,unknown,unknown
a976b6d1,c66fd91d90c065c7,49.090106928032235,0.4030143178670645,3,9,99.9,99.9,unknown,unknown
f4237e09,8e337a2cc7859197,2508.7187179883267,0.9531395107124839,3,12,98.58,98.58,unknown,unknown
28b492a9,de36f0c28b8b6271,2360.650191798124,0.5270562645367435,3,0,0,0,unknown,unknown
d0f6d247,9778309f95997524,122.96252604553277,0.5112168932001814,3,4,81.17,81.17,unknown,unknown
c9f93fed,b48532761db163ce,15.538180211605846,0.5652345104388032,3,0,0,0,unknown,unknown
655e8827,f987869c5a287d49,251.61127175976807,0.5222813821164055,3,3,70.68,70.68,unknown,unknown
36ccf7a5,ecc0bb4f247e813a,45.816162739584676,0.5220364954581089,3,2,82.69,82.69,unknown,unknown
dc9524df,c3b93cce94956338,809.5174445307963,0.2890391805925104,3,0,0,0,unknown,unknown
b12bd015,e130b877be423789,333.87547022064297,0.4443882399295415,4,3,81.64,81.64,unknown,unknown
eb3a8a73,98639b3666a4e565,395.49643628142775,0.8598096323816748,4,0,0,0,unknown,unknown
e9f2aef4,b7ea9cd4c043ec25,1588.8915672646488,0.44098568627450985,4,7,83.31,83.31,unknown,unknown
